index,text,author_is_TW
5835,"Jake nodded, and Patterson held out a dead-white, boneless hand with dirty fingernails. It was late when he left the vacant lot. The hard, blue sky had blanched and in the east there was a white moon. Dusk softened the outline of the houses along the street. Jake did not return immediately through Weavers Lane, but wandered in the neighborhoods near-by. Certain smells, certain voices heard from a distance, made him stop short now and then by the side of the dusty street. He walked erratically, jerking from one direction to another for no purpose. His head felt very light, as though it were made of thin glass. A chemical change was taking place in him. The beers and whiskey he had stored so continuously in his system set in a reaction. He was sideswiped by drunkenness. The streets which had seemed so dead before were quick with life. There was a ragged strip of grass bordering the street, and as Jake walked along the ground seemed to rise nearer to his face. He sat down on the border of grass and leaned against a telephone pole. He settled himself comfortably, crossing his legs Turkish fashion and smoothing down the ends of his mustache. Words came to him and dreamily he spoke them aloud to himself.",0
4617,"In March there is a day that's almost spring, and C. Green, strong with will to have it so, says: ""Well, it's here""--and it is gone like smoke. You can't look spring too closely in the eye in March. Raw days return, and blown light, and gusty moanings of the wind. Then April comes, and small, soaking rain. The air is wet and raw and chilled, but with a smell of spring now, a smell of earth, of grass exploding in small patches, here and there a blade, a bud, a leaf. And spring comes, marvellous, for a day or two--""It's here! Green thinks. It's here at last!""--and he is wrong again. It goes, chill days and greyness and small, soaking rains return. Green loses hope. There is no spring! he says. You never get spring any more; you jump from winter into summer--we'll have summer now and the hot weather before you know it. Then spring comes--explodes out of the earth in a green radiance--comes up overnight!",1
3269,"Why, what's the matter?""  ""Spring trainin'. You mean you don't like it?""  ""Like it! Them first three weeks is just plain hell. It ain't bad when you're a kid. You don't put on much weight durin' the winter, an' when you come down in the spring it only takes a few days to loosen up an' git the kinks out. In two weeks' time you're loose as ashes. But wait till you been aroun' as long as I have! He laughed loudly and shook his head. Boy! The first time you go after a grounder you can hear your joints creak. After a while you begin to limber up--you work into it an' git the soreness out of your muscles. By the time the season starts, along in April, you feel pretty good. By May you're goin' like a house a-fire, an' you tell yourself you're good as you ever was. You're still goin' strong along in June. An' then you hit July, an' you git them double-headers in St. Looie! Boy, oh boy! Again he shook his head and laughed, baring big square teeth. Monkus,"" he said quietly, turning to his companion, and now his face was serious and he had his black Indian look--""you ever been in St. Looie in July?""  ""No.""  ""All right, then,"" he said very softly and scornfully.",1
8959,"“You want to see him?”  “Yes,” I said. “Not me,” said Mike. “This gent.”",0
4258,"Jarvis himself went around town and sold stock in the bank. He had no difficulty at all. He made it quite plain that he did not think anyone was going to make a fortune. He simply sold the stock as a safe and sound investment, and that was how everybody felt about it. The bank was modestly capitalised at $25,000, and there were 250 shares at $100 each. The sponsors, including Jarvis, took 100 shares between them, and the remaining 150 shares were divided among ""a selected group of leading business men"". As Jarvis said, the bank was really ""a community project whose first and only purpose is to serve the community"", so no one was allowed to acquire too large an interest.",1
3638,"Then, frowning in a sombre and perturbed way, she fumbled in a wooden box upon the desk, took from it a cigarette, and lighted it. She got up nervously and began to walk about the room with short steps, frowning intently while she puffed at the cigarette, and holding it in the rather clumsy but charming manner of a woman who rarely smokes. I wonder if I'll get any more shows to do next season,"" she muttered half to herself, as if scarcely aware of her husband's presence. I wonder if there'll be anything more for me. No one has spoken to me yet,"" she said gloomily.",1
8526,"“Tell me what tackle to send for.”  “Get two or three rods with reels, and lines, and some flies.” “I won’t fish,” Brett put in. “Get two rods, then, and Bill won’t have to buy one.”",0
8041,"Most of the big shore places were closed now and there were hardly any lights except the shadowy, moving glow of a ferryboat across the Sound. And as the moon rose higher the inessential houses began to melt away until gradually I became aware of the old island here that flowered once for Dutch sailors’ eyes—a fresh, green breast of the new world. Its vanished trees, the trees that had made way for Gatsby’s house, had once pandered in whispers to the last and greatest of all human dreams; for a transitory enchanted moment man must have held his breath in the presence of this continent, compelled into an aesthetic contemplation he neither understood nor desired, face to face for the last time in history with something commensurate to his capacity for wonder.",0
1748,"He was a child when he went away: he was a child who had looked much on pain and evil, and remained a fantasist of the Ideal. Walled up in his great city of visions, his tongue had learned to mock, his lip to sneer, but the harsh rasp of the world had worn no grooving in the secret life. Again and again he had been bogged in the gray slough of factuality. His cruel eyes had missed the meaning of no gesture, his packed and bitter heart had sweltered in him like a hot ingot, but all his hard wisdom melted at the glow of his imagination. He was not a child when he reflected, but when he dreamt, he was; and it was the child and dreamer that governed his belief. He belonged, perhaps, to an older and simpler race of men: he belonged with the Mythmakers. For him, the sun was a lordly lamp to light him on his grand adventuring. He believed in brave heroic lives. He believed in the fine flowers of tenderness and gentleness he had little known. He believed in beauty and in order, and that he would wreak out their mighty forms upon the distressful chaos of his life. He believed in love, and in the goodness and glory of women. He believed in valiance, and he hoped that, like Socrates, he would do nothing mean or common in the hour of danger. He exulted in his youth, and he believed that he could never die.",1
1344,"He found Margaret in the library reading to the children from The Water Babies. Mr. Leonard says to ask you if I can go?"" he said. And her eyes were darkened wholly.",1
8350,"That would be a hell of an idea after we’d just talked it out.” “We never agreed.” “Oh, you know as well as I do. Don’t be obstinate, darling.”",0
5922,"Then one night he found that Daisy had pierced holes in little Portia's ears for earrings. And another time a kewpie doll with feather skirts was on the mantelpiece when he came home, and Daisy was gentle and hard and would not put it away. He knew, too, that Daisy was teaching the children the cult of meekness. She told them about hell and heaven. Also she convinced them of ghosts and of haunted places. Daisy went to church every Sunday and she talked sorrowfully to the preacher of her own husband. And with her stubbornness she always took the children to the church, too, and they listened.",0
7461,"“With me?” she exclaimed in surprise. “Yes, madame.”",0
5830,"Patterson guided him toward the partly covered flying-jinny. The motionless wooden horses were fantastic in the late afternoon sun. They pranced up statically, pierced by their dull gilt bars. The horse nearest Jake had a splintery wooden crack in its dingy rump and the eyes walled blind and frantic, shreds of paint peeled from the sockets. The motionless merry-go-round seemed to Jake like something in a liquor dream.",0
5111,"It was some time after that when he finally dropped off. The storm was still howling like a madman round the house, but he was no longer aware of it. 37. The Morning After George lay in merciful and dreamless sleep, as leaden as if he had GEORGE knocked senseless by a heavy club. How long he had slept he did not know, but it hardly seemed five minutes when he was awakened suddenly by someone shaking him by the shoulder. He opened his eyes and started up. It was McHarg. He stood there in his underwear, prancing round on his stork-like legs like an impatient sprinter straining at the mark.",1
7633,"His bedroom was the simplest room of all—except where the dresser was garnished with a toilet set of pure dull gold. Daisy took the brush with delight, and smoothed her hair, whereupon Gatsby sat down and shaded his eyes and began to laugh. “It’s the funniest thing, old sport,” he said hilariously. “I can’t—When I try to—”  He had passed visibly through two states and was entering upon a third.",0
6537,The gift I ordered for you did not come in time for the Christmas box. I expect it shortly. I believe you will like it and be amused. I think of us always and remember everything. I long for the food you used to make. At the New York Café it is much worse than it used to be. I found a cooked fly in my soup not long ago. It was mixed with the vegetables and the noodles like letters. But that is nothing. The way I need you is a loneliness I cannot bear. Soon I will come again. My vacation is not due for six months more but I think I can arrange it before then. I think I will have to. I am not meant to be alone and without you who understand.,0
5822,"He began walking again down the hot, deserted street. He did not walk as a stranger in a strange town. He seemed to be looking for someone. Soon he entered one of the mill districts bordering the river. The streets became narrow and unpaved and they were not empty any longer. Groups of dingy, hungry-looking children called to each other and played games. The two-room shacks, each one like the other, were rotten and unpainted. The stink of food and sewage mingled with the dust in the air. The falls up the river made a faint rushing sound. People stood silently in doorways or lounged on steps. They looked at Jake with yellow, expressionless faces. He stared back at them with wide, brown eyes. He walked jerkily, and now and then he wiped his mouth with the hairy back of his hand.",0
2857,"In nakedness and loneliness of soul he paced along the streets. Nobody said, I know you. Nobody said, I am here.",1
7450,"For a moment he looked at me as if he failed to understand. “I’m Gatsby,” he said suddenly. “What!” I exclaimed. “Oh, I beg your pardon.”",0
3703,"He took his place in the car and went on with a simulation of regret: ""Too bad you're goin' to miss out on the blondes, Pop. But maybe you'll change your mind when you get a look at 'em. No, I won't change my mind, neither,"" said John with sour implacability as he slammed the door.",1
7295,"“Who with?”  I told him. “Never heard of them,” he remarked decisively. This annoyed me.",0
4587,"But I've e-e-a-ten! Oh, you haven't! whispers Fox impatiently.",1
1579,"His brain reeled as if drunken, he dropped his mouth awkwardly upon her parted lips. She sank back heavily on the pillows. He planted dry and clumsy kisses upon her mouth, her eyes, in little circles round her throat and face. He fumbled at the throat-hook of her waist, but his fingers shook so violently that he could not unfasten it. She lifted her smooth hands with a comatose gesture, and unfastened it for him.",1
7657,"I suppose he’d had the name ready for a long time, even then. His parents were shiftless and unsuccessful farm people—his imagination had never really accepted them as his parents at all. The truth was that Jay Gatsby of West Egg, Long Island, sprang from his Platonic conception of himself. He was a son of God—a phrase which, if it means anything, means just that—and he must be about His Father’s business, the service of a vast, vulgar, and meretricious beauty. So he invented just the sort of Jay Gatsby that a seventeen-year-old boy would be likely to invent, and to this conception he was faithful to the end.",0
9009,"“He was, you know. He was positively green.” “Oh, shove it along, Michael.”",0
8466,“See that horse-cab? Going to have that horse-cab stuffed for you for Christmas. Going to give all my friends stuffed animals. I’m a nature-writer.”,0
799,Una dormienda. Luna dies et nox. Is Latin poetry hard to read?,1
2675,"Then she left the room. The only sound in the room now was the low rattling mutter of Ben's breath. He no longer gasped; he no longer gave signs of consciousness or struggle. His eyes were almost closed; their gray flicker was dulled, coated with the sheen of insensibility and death. He lay quietly upon his back, very straight, without sign of pain, and with a curious upturned thrust of his sharp thin face. His mouth was firmly shut. Already, save for the feeble mutter of his breath, he seemed to be dead--he seemed detached, no part of the ugly mechanism of that sound which came to remind them of the terrible chemistry of flesh, to mock at illusion, at all belief in the strange passage and continuance of life.",1
8574,"We got into the cab, and the cabman put the bags up on the seat beside him and climbed up and cracked his whip, and we drove over the dark bridge and into the town. “I’m awfully glad to meet you,” Robert said to Bill. “I’ve heard so much about you from Jake and I’ve read your books. Did you get my line, Jake?”  The cab stopped in front of the hotel and we all got out and went in.",0
5420,"Then he said:  ""I feel exactly as if I had blood-money in my pocket. No,"" she said. She leaned over, smiling, and put her hand reassuringly upon his arm. Not blood-money--Jew-money! she whispered. Don't worry about it. He had plenty more! George's eyes met Adamowski's. Both were grave.",1
5154,"His friend was a sober-minded German, rather on the dull and heavy side, and his face was so absurdly serious as he spoke that George thought he was trying to play some lumbering joke upon him. He wanted to know who this mysterious personage might be who was so anxious to make his acquaintance. To George's amazement and incredulity, his friend named a high official in the government.",1
2082,"Said he couldn't eat breakfast. Did he say anything to the boarders?""  ""'You damned scoundrels! You dirty Mountain Grills!  Whee--!' That was all. Ben snickered quietly.",1
5754,'It just that something is the matter. My Father not like other colored mens. This here is hard to explain. My Father all the time studying by hisself. And a long time ago he taken up all these notions about how a fambly ought to be. He bossed over ever little thing in the house and at night he tried to teach us children lessons.',0
4303,"When Randy recovered from his first surprise he cried out heartily:  ""Now wait a minute! Wait a minute! Don't shoot! I'm not that fellow at all!",1
3159,"Yis, yis, yis! Yis, yis, yis!""  Then he would catch sight of George looking at him from the window, and this would set him off again, for he would wag his finger and fairly scream:  ""You were tramp-ling!...Yis, yis, yis!... Last night--again tramp-ling! This would reduce him to such a paroxysm of mirth that he would stagger across the court and lean against the wall, all caved in, holding his narrow stomach and shrieking faintly.",1
5180,"Without his glasses, his small puckered face had a tired and worn look, and his weak eyes were bloodshot and weary from the night before. 0 Gott! he cried, with a kind of gleeful desperation. I feel perfectly dret-ful! I haf not efen been to bett! After I left you I could not sleep. I valked and valked, almost up to Grunewald... May I tell you somesing? he said earnestly, and peered at George with the serious intensity with which he always uttered these oracular words. I feel like hell--I really do. Then you haven't been to bed at all?",1
20,The train rattled on over the reeking earth. Rain fell steadily. A brakeman came draftily into the dirty plush coach and emptied a scuttle of coal into the big stove at the end. High empty laughter shook a group of yokels sprawled on two turned seats. The bell tolled mournfully above the clacking wheels. There was a droning interminable wait at a junction-town near the foot-hills. Then the train moved on again across the vast rolling earth.,1
646,"Oh Christ!"" said Coker. Here comes Teacher!""  ""Good morning, Hugh,"" he said as he entered. Are you going into training again for the bughouse?""  ""Look who's here!",1
9453,In the morning when I awoke the bicycle-riders and their following cars had been on the road for three hours. I had coffee and the papers in bed and then dressed and took my bathing-suit down to the beach. Everything was fresh and cool and damp in the early morning. Nurses in uniform and in peasant costume walked under the trees with children. The Spanish children were beautiful. Some bootblacks sat together under a tree talking to a soldier. The soldier had only one arm. The tide was in and there was a good breeze and a surf on the beach.,0
8472,"We got in the taxi. The driver looked around. “Stop at the nearest bistro,” I said.",0
5844,"'There's a tent around the corner and it's Sunday,' the small man said finally. 'You can go there and tell all the Gospel you want. '",0
8176,"“Hello, you chaps,” Brett said. “I’m going to have a drink.” “Oh, Brett! Brett!” the little Greek portrait-painter, who called himself a duke, and whom everybody called Zizi, pushed up to her. “I got something fine to tell you.”",0
567,"And he remembered the smells of the French market, the heavy fragrance of the coffee he drank there, and the foreign Sunday gaiety of the city's life--the theatres open, the sound of hammer and saw, the gay festivity of crowds. He visited the Boyles, old guests at Dixieland, who lived in the old French quarter, sleeping at night with Frank Boyle in a vast dark room lighted dimly with tapers: they had as cook an ancient negress who spoke only French, and who returned from the Market early in the morning bearing a huge basket loaded with vegetables, tropical fruits, fowls, meats. She cooked strange delicious food that he had never tasted before-- heavy gumbo, garnished steaks, sauced fowls.",1
6485,"This was the friend to whom he told all that was in his heart. This was the Antonapoulos who no one knew was wise but him. As the year passed his friend seemed to grow larger in his mind, and his face looked out in a very grave and subtle way from the darkness at night. The memories of his friend changed in his mind so that he remembered nothing that was wrong or foolish--only the wise and good.",0
7762,“Have you got your stables here?” asked Gatsby with an effort. “About a quarter of a mile down the road.” “Oh.”  A pause.,0
8684,“What’s all this irony and pity?”  “What? Don’t you know about Irony and Pity?”  “No. Who got it up?”  “Everybody.,0
3335,"What had Judge Bland meant when he asked, ""Do you think you can go home again? And what had been the meaning of that evil, silent, mocking laughter? What had he heard? What did he know? And these others--did they know, too?",1
1482,"Yes, suh,"" said the negro. They drove on. In the crowd of loafing youngsters that stood across the threshold of Wood's pharmacy, Colonel Pettigrew's darting eyes saw two of his own cadets. They were pimply youths, with slack jaws and a sloppy carriage.",1
7080,"'Listen to little Mick,' Bill said. Their Dad picked his teeth with a matchstick and took his feet down from the banisters. 'Now, let's not rush into anything. I rather Mick take her time and think this out. We can get along somehow without her working. I mean to increase my watch work by sixty per cent soon as----'  'I forgot,' Hazel said.",0
3328,"I mean, do you think you can really go home again? Then, sharp, cold, peremptory--""Now answer me! Do you think you can?""  ""Why--why yes!",1
3489,"But as Mr. Merrit painted his glowing picture of the fun they had on these occasions, George Webber saw quite another image. It was an image of twelve or fifteen hundred men--for on these pilgrimages, by general consent, women (or, at any rate, wives) were debarred--twelve or fifteen hundred men, Americans, most of them in their middle years, exhausted, overwrought, their nerves frayed down and stretched to the breaking point, met from all quarters of the continent ""at the Company's expense"" for one brief, wild, gaudy week of riot. And George thought grimly what this tragic spectacle of business men at play meant in terms of the entire scheme of things and the plan of life that had produced it. He began to understand, too, the changes which time had brought about in Randy.",1
