season_name,season,full_name,castaway_id,castaway,age,city,state,personality_type,episode,day,order,result,jury_status,original_tribe,swapped_tribe,swapped_tribe_2,merged_tribe,total_votes_received,immunity_idols_won,short_name,date_of_birth,date_of_death,gender,race,ethnicity,occupation
Survivor: 41,41,Eric Abraham,591,Abraham,51,San Antonio,Texas,ESTJ,1,3,1,1st voted out,,Yase,,,,5,0,Abraham,1970-06-10,,Male,Black,,Cyber Security Analyst
Survivor: Winners at War,40,Tony Vlachos,424,Tony,45,Allendale,New Jersey,ESTP,15,39,22,Sole Survivor,,Dakal,Dakal,,Koru,0,4,Tony,1973-09-10,,Male,,,Police Officer
Survivor: Winners at War,40,Natalie Anderson,442,Natalie,33,Edgewater,New Jersey,ESTP,15,39,21,Runner-up,,Sele,,,Koru,11,1,Natalie,1986-04-11,,Female,Asian,,Crossfit Coach/Physical Therapy Student;CrossFit Trainer
Survivor: Winners at War,40,Michele Fitzgerald,478,Michele,29,Hoboken,New Jersey,ESFP,15,39,20,2nd runner-up,,Sele,Sele,,Koru,6,2,Michele,1990-05-05,,Female,,,Bartender;Business Development Manager
Survivor: Winners at War,40,Sarah Lacina,414,Sarah,34,Cedar Rapids,Iowa,ENTJ,14,38,19,Eliminated,16th jury member,Dakal,Yara,,Koru,2,0,Sarah,1984-07-09,,Female,,,Police Officer
Survivor: Winners at War,40,Ben Driebergen,516,Ben,36,Boise,Idaho,ESFP,14,37,18,18th voted out,15th jury member,Sele,Yara,,Koru,7,0,Ben,1983-01-01,,Male,,,Marine;Real Estate/Stay-at-home Dad
Survivor: Winners at War,40,Denise Stapley,386,Denise,48,Marion,Iowa,INFJ,14,36,17,17th voted out,14th jury member,Sele,Dakal,,Koru,18,2,Denise,1971-01-01,,Female,,,Sex Therapist
Survivor: Winners at War,40,Nick Wilson,556,Nick,28,Williamsburg,Kentucky,ENTP,13,34,16,16th voted out,13th jury member,Dakal,Sele,,Koru,8,1,Nick,1990-06-11,,Male,,,Public Defender;Attorney
Survivor: Winners at War,40,Jeremy Collins,433,Jeremy,41,Foxboro,Massachusetts,ESTJ,13,31,15,15th voted out,12th jury member,Sele,Dakal,,Koru,9,1,Jeremy,1978-04-16,,Male,Black,,Cambridge Firefighter
Survivor: Winners at War,40,Kim Spradlin-Wolfe,371,Kim,36,San Antonio,Texas,INFJ,12,29,14,14th voted out,11th jury member,Dakal,Dakal,,Koru,9,1,Kim,1983-01-30,,Female,,,Bridal Shop Owner;Interior Designer
Survivor: Winners at War,40,Sophie Clarke,353,Sophie,29,Santa Monica,California,INTJ,11,28,13,13th voted out,10th jury member,Dakal,Yara,,Koru,6,0,Sophie,1989-07-10,,Female,,,Medical Student;Healthcare Consultant
Survivor: Winners at War,40,Tyson Apostol,274,Tyson,39,Mesa,Arizona,ESTP,10,25,12,12th voted out,9th jury member,Dakal,,,Koru,12,0,Tyson,1979-06-17,,Male,,,Former Professional Cyclist/Missionary;Shop Manager
Survivor: Winners at War,40,Adam Klein,498,Adam,28,Los Angeles,California,ENTP,9,23,11,11th voted out,8th jury member,Sele,Yara,,Koru,15,0,Adam,1991-01-15,,Male,White,Jewish,Homeless Shelter Manager;Keynote Speaker and Host
Survivor: Winners at War,40,Wendell Holland,536,Wendell,35,Philadelphia,Pennsylvania,INFJ,8,21,10,10th voted out,7th jury member,Dakal,Sele,,Koru,14,0,Wendell,1984-03-08,,Male,Black,,Furniture Company Owner;Furniture Designer
Survivor: Winners at War,40,Yul Kwon,202,Yul,44,Los Altos,California,INTJ,7,18,9,9th voted out,6th jury member,Dakal,Sele,,,3,0,Yul,1975-02-14,,Male,Asian,Korean American,Management Consultant;Product Management
Survivor: Winners at War,40,Sandra Diaz-Twine,112,Sandra,44,Riverview,Florida,ESTP,6,16,8,8th voted out,,Dakal,Dakal,,,2,0,Sandra,1974-07-30,,Female,,Hispanic or Latino,Office Assistant;Case Manager
Survivor: Winners at War,40,Parvati Shallow,197,Parvati,36,Los Angeles,California,ENFJ,6,16,7,7th voted out,5th jury member,Sele,Sele,,,8,0,Parvati,1982-09-21,,Female,White,,Boxer;Charity Organizer;Yoga Teacher/Life Coach/Speaker
Survivor: Winners at War,40,Rob Mariano,55,Boston Rob,43,Pensacola,Florida,ESTJ,5,14,6,6th voted out,4th jury member,Sele,Yara,,,4,0,Boston Rob,1975-12-25,,Male,,,Construction Worker
Survivor: Winners at War,40,Tyson Apostol,274,Tyson,39,Mesa,Arizona,ESTP,4,11,5,5th voted out,,Dakal,,,,12,0,Tyson,1979-06-17,,Male,,,Former Professional Cyclist/Missionary;Shop Manager
Survivor: Winners at War,40,Ethan Zohn,48,Ethan,45,Hillsborough,New Hampshire,ISFP,3,9,4,4th voted out,3rd jury member,Sele,,,,4,0,Ethan,1973-11-12,,Male,White,Jewish,Professional Soccer Player;Social Entrepreneur/Keynote Speaker
Survivor: Winners at War,40,Danni Boatwright,166,Danni,43,Shawnee,Kansas,ENFJ,2,6,3,3rd voted out,2nd jury member,Sele,,,,8,0,Danni,1975-07-13,,Female,,,Sports Radio Host;Owner of Sideline Chic
Survivor: Winners at War,40,Amber Mariano,27,Amber,40,Pensacola,Florida,ISFP,1,3,2,2nd voted out,1st jury member,Dakal,,,,6,0,Amber,1978-08-11,,Female,,,Administrative Assistant;Director of Marketing and Communications
Survivor: Winners at War,40,Natalie Anderson,442,Natalie,33,Edgewater,New Jersey,ESTP,1,2,1,1st voted out,,Sele,,,,11,1,Natalie,1986-04-11,,Female,Asian,,Crossfit Coach/Physical Therapy Student;CrossFit Trainer
Survivor: Island of the Idols,39,Tommy Sheehan,590,Tommy,26,Long Beach,New York,ENFJ,14,39,20,Sole Survivor,,Vokai,Vokai,,Lumuwaku,4,0,Tommy,1992-10-26,,Male,,,4th Grade Teacher
Survivor: Island of the Idols,39,Dean Kowalski,589,Dean,28,New York City,New York,ISTP,14,39,19,Runner-up,,Lairo,Lairo,,Lumuwaku,5,2,Dean,1990-04-12,,Male,,,Tech Sales
Survivor: Island of the Idols,39,Noura Salman,588,Noura,36,North Potomac,Maryland,ENFP,14,39,18,2nd runner-up,,Vokai,Lairo,,Lumuwaku,6,3,Noura,1982-08-23,,Female,Asian,,Entrepreneur
Survivor: Island of the Idols,39,Lauren Beck,587,Lauren,28,Glendale,California,ENFP,13,38,17,Eliminated,10th jury member,Vokai,Vokai,,Lumuwaku,1,1,Lauren,1989-11-16,,Female,Black,,Nanny
Survivor: Island of the Idols,39,Janet Carbin,586,Janet,59,Palm Bay,Florida,ENFJ,13,37,16,15th voted out,9th jury member,Vokai,Lairo,,Lumuwaku,9,0,Janet,1959-06-15,,Female,,,Chief Lifeguard
Survivor: Island of the Idols,39,Dan Spilo,585,Dan,48,Los Angeles,California,ENTJ,13,36,15,Ejected,,Vokai,Vokai,,Lumuwaku,5,0,Dan,1970-06-28,,Male,,,Talent Manager
Survivor: Island of the Idols,39,Elaine Stott,584,Elaine,41,Rockholds,Kentucky,ENFP,12,35,14,14th voted out,8th jury member,Lairo,Vokai,,Lumuwaku,8,1,Elaine,1978-01-13,,Female,,,Factory Worker
Survivor: Island of the Idols,39,Karishma Patel,583,Karishma,37,Houston,Texas,INFP,11,32,13,13th voted out,7th jury member,Lairo,Lairo,,Lumuwaku,22,0,Karishma,1981-12-07,,Female,Asian,,Personal Injury Lawyer
Survivor: Island of the Idols,39,Elizabeth Beisel,582,Elizabeth,26,Saunderstown,Rhode Island,ENFJ,10,30,12,12th voted out,6th jury member,Lairo,Vokai,,Lumuwaku,8,0,Elizabeth,1992-08-18,,Female,,,Olympic Medalist
Survivor: Island of the Idols,39,Missy Byrd,581,Missy,24,Tacoma,Washington,INTJ,9,27,11,11th voted out,5th jury member,Lairo,Vokai,,Lumuwaku,6,0,Missy,1994-07-01,,Female,Black,,Air Force Veteran
Survivor: Island of the Idols,39,Aaron Meredith,580,Aaron,36,Warwick,Rhode Island,ESTJ,9,27,10,10th voted out,4th jury member,Lairo,Vokai,,Lumuwaku,10,2,Aaron,1982-12-16,,Male,Black,,Gym Owner
Survivor: Island of the Idols,39,Jamal Shipman,579,Jamal,33,Providence,Rhode Island,ENFJ,8,24,9,9th voted out,3rd jury member,Vokai,Lairo,,Lumuwaku,6,0,Jamal,1985-05-09,,Male,Black,Hispanic or Latino,College Administrator
Survivor: Island of the Idols,39,Kellee Kim,578,Kellee,29,Philadelphia,Pennsylvania,INTP,8,22,8,8th voted out,2nd jury member,Vokai,Lairo,,Lumuwaku,8,0,Kellee,1989-10-17,,Female,Asian,,MBA Student
Survivor: Island of the Idols,39,Jack Nichting,577,Jack,23,Harrisonburg,Virginia,ENFP,7,19,7,7th voted out,1st jury member,Vokai,Lairo,,,2,0,Jack,1995-06-05,,Male,,,Graduate Student
Survivor: Island of the Idols,39,Jason Linden,576,Jason,32,New York City,New York,ENTP,6,16,6,6th voted out,,Vokai,Vokai,,,6,0,Jason,1986-08-04,,Male,White,Jewish,Personal Injury Lawyer
Survivor: Island of the Idols,39,Tom Laidlaw,575,Tom,60,Greenwich,Connecticut,ESFJ,5,14,5,5th voted out,,Lairo,Lairo,,,6,0,Tom,1958-04-15,,Male,,,Former NHL Player
Survivor: Island of the Idols,39,Chelsea Walker,574,Chelsea,27,Los Angeles,California,ENTP,4,11,4,4th voted out,,Lairo,,,,6,0,Chelsea,1992-03-10,,Female,,,Digital Content Creator
Survivor: Island of the Idols,39,Vince Moua,573,Vince,27,Palo Alto,California,ENFP,3,8,3,3rd voted out,,Lairo,,,,7,0,Vince,1991-04-09,,Male,Asian,Hmong,Admissions Counselor
Survivor: Island of the Idols,39,Molly Byman,572,Molly,27,Durham,North Carolina,INTJ,2,6,2,2nd voted out,,Vokai,,,,7,0,Molly,1990-10-05,,Female,,,Law Student
Survivor: Island of the Idols,39,Ronnie Bardah,571,Ronnie,36,Henderson,Nevada,ISTP,1,3,1,1st voted out,,Lairo,,,,7,0,Ronnie,1982-08-29,,Male,"Asian, Black",Jewish,Professional Poker Player
Survivor: Edge of Extinction,38,Chris Underwood,559,Chris,25,Greenville,South Carolina,ENTP,14,39,20,Sole Survivor,,Manu,,,Vata,9,1,Chris,1992-10-06,,Male,,Hispanic or Latino,District Sales Manager
Survivor: Edge of Extinction,38,Gavin Whitson,570,Gavin,23,Erwin,Tennessee,ISFJ,14,39,19,Runner-up,,Kama,Manu,,Vata,0,2,Gavin,1994-07-20,,Male,,,YMCA Program Director
Survivor: Edge of Extinction,38,Julie Rosenberg,569,Julie,46,New York City,New York,ENFP,14,39,18,2nd runner-up,,Kama,Kama,,Vata,1,2,Julie,1971-10-09,,Female,White,Jewish,Toymaker
Survivor: Edge of Extinction,38,Rick Devens,560,Rick,33,Macon,Georgia,ENTP,13,38,17,Eliminated,13th jury member,Manu,Lesu,,Vata,12,4,Rick,1984-04-05,,Male,,,Morning News Anchor
Survivor: Edge of Extinction,38,Lauren O'Connell,568,Lauren,21,Waco,Texas,ESFP,13,37,16,16th voted out,12th jury member,Manu,Lesu,,Vata,11,0,Lauren,1996-10-25,,Female,,,Student
Survivor: Edge of Extinction,38,Victoria Baamonde,567,Victoria,23,Bronx,New York,INTP,13,36,15,15th voted out,11th jury member,Kama,Manu,,Vata,2,0,Victoria,1994-07-18,,Female,,Hispanic or Latino,Waitress
Survivor: Edge of Extinction,38,Aurora McCreary,566,Aurora,32,Orlando,Florida,ISTP,12,34,14,14th voted out,10th jury member,Kama,Kama,,Vata,12,2,Aurora,1985-12-21,,Female,,,Divorce Lawyer
Survivor: Edge of Extinction,38,Ron Clark,565,Ron,45,Atlanta,Georgia,,11,31,13,13th voted out,9th jury member,Kama,Kama,,Vata,2,0,Ron,1971-10-24,,Male,,,Teacher
Survivor: Edge of Extinction,38,Dan DaSilva,564,Wardog,38,Los Angeles,California,ENTP,10,29,12,12th voted out,8th jury member,Manu,Lesu,,Vata,8,0,Wardog,1980-03-31,,Male,,,Law Student/Former Military
Survivor: Edge of Extinction,38,Kelley Wentworth,429,Kelley,32,Seattle,Washington,ENTP,9,27,11,11th voted out,7th jury member,Manu,Lesu,,Vata,14,0,Kelley,1986-06-07,,Female,,,Marketing Manager
Survivor: Edge of Extinction,38,David Wright,495,David,44,Sherman Oaks,California,INFP,9,25,10,10th voted out,6th jury member,Manu,Lesu,,Vata,12,0,David,1974-02-28,,Male,,,Television Writer
Survivor: Edge of Extinction,38,Julia Carter,563,Julia,25,Bethesda,Maryland,ESFJ,8,23,9,9th voted out,5th jury member,Kama,Kama,,Vata,9,0,Julia,1993-04-18,,Female,Black,,Medical Assistant
Survivor: Edge of Extinction,38,Eric Hafemann,562,Eric,34,Livermore,California,ESTP,7,22,8,8th voted out,4th jury member,Kama,Manu,,Vata,8,0,Eric,1983-04-13,,Male,,,Firefighter
Survivor: Edge of Extinction,38,Joe Anglim,451,Joe,29,Ogden,Utah,ISFP,6,19,7,7th voted out,3rd jury member,Kama,Kama,,Vata,6,0,Joe,1988-09-30,,Male,,,Jewelry Designer;Multimedia Artist
Survivor: Edge of Extinction,38,Wendy Diaz,561,Wendy,25,Bell,California,ENFP,5,16,6,6th voted out,,Manu,Manu,,,15,0,Wendy,1992-09-26,,Female,,Hispanic or Latino,Small Business Owner
Survivor: Edge of Extinction,38,Aubry Bracco,477,Aubry,32,Los Angeles,California,INFJ,5,13,5,5th voted out,2nd jury member,Kama,Manu,,,4,0,Aubry,1985-11-14,,Female,,,Social Media Marketer;Marketing Director
Survivor: Edge of Extinction,38,Rick Devens,560,Rick,33,Macon,Georgia,ENTP,4,11,4,4th voted out,,Manu,Lesu,,,12,4,Rick,1984-04-05,,Male,,,Morning News Anchor
Survivor: Edge of Extinction,38,Chris Underwood,559,Chris,25,Greenville,South Carolina,ENTP,3,8,3,3rd voted out,,Manu,,,,9,1,Chris,1992-10-06,,Male,,Hispanic or Latino,District Sales Manager
Survivor: Edge of Extinction,38,Keith Sowell,558,Keith,19,Durham,North Carolina,INFP,2,6,2,2nd voted out,,Manu,,,,6,0,Keith,1998-07-16,,Male,Black,,Pre-Med Student
Survivor: Edge of Extinction,38,Reem Daly,557,Reem,46,Ashburn,Virginia,ESTP,1,3,1,1st voted out,1st jury member,Manu,,,,4,0,Reem,1971-07-08,,Female,,,Sales Representative
Survivor: David vs. Goliath,37,Nick Wilson,556,Nick,27,Williamsburg,Kentucky,ENTP,14,39,20,Sole Survivor,,David,Jabeni,,Kalokalo,0,2,Nick,1990-06-11,,Male,,,Public Defender;Attorney
Survivor: David vs. Goliath,37,Mike White,555,Mike,47,Los Angeles,California,INFP,14,39,19,Runner-up,,Goliath,Jabeni,,Kalokalo,1,1,Mike,1970-06-28,,Male,,,Filmmaker
Survivor: David vs. Goliath,37,Angelina Keeley,554,Angelina,28,San Clemente,California,ENTJ,14,39,18,2nd runner-up,,Goliath,Jabeni,,Kalokalo,6,0,Angelina,1989-07-06,,Female,,Hispanic or Latino,Financial Consultant
Survivor: David vs. Goliath,37,Kara Kay,553,Kara,30,San Diego,California,ENFJ,13,38,17,Eliminated,10th jury member,Goliath,Vuku,,Kalokalo,0,1,Kara,1987-11-20,,Female,,,Realtor
Survivor: David vs. Goliath,37,Alison Raybould,552,Alison,28,Chapel Hill,North Carolina,ENFJ,13,37,16,14th voted out,9th jury member,Goliath,Tiva,,Kalokalo,13,1,Alison,1989-07-12,,Female,,,Physician
Survivor: David vs. Goliath,37,Davie Rickenbacker,551,Davie,30,Atlanta,Georgia,ENFP,13,36,15,13th voted out,8th jury member,David,Vuku,,Kalokalo,7,1,Davie,1987-09-14,,Male,Black,,Social Media Manager
Survivor: David vs. Goliath,37,Christian Hubicki,550,Christian,32,Tallahassee,Florida,ENFP,12,35,14,12th voted out,7th jury member,David,Tiva,,Kalokalo,18,1,Christian,1985-12-06,,Male,,,Robotics Scientist
Survivor: David vs. Goliath,37,Gabby Pascuzzi,549,Gabby,25,Denver,Colorado,INFP,11,32,13,11th voted out,6th jury member,David,Tiva,,Kalokalo,2,0,Gabby,1993-03-23,,Female,Asian,,Technical Writer
Survivor: David vs. Goliath,37,Carl Boudreaux,548,Carl,41,Houston,Texas,ISFJ,10,30,12,10th voted out,5th jury member,David,Vuku,,Kalokalo,6,0,Carl,1976-10-29,,Male,Black,,Truck Driver
Survivor: David vs. Goliath,37,Alec Merlino,547,Alec,24,San Clemente,California,ESFP,10,28,11,9th voted out,4th jury member,Goliath,Vuku,,Kalokalo,9,1,Alec,1993-10-15,,Male,,,Bartender
Survivor: David vs. Goliath,37,Dan Rengering,546,Dan,28,Gainesville,Florida,ESFP,9,25,10,8th voted out,3rd jury member,Goliath,Tiva,,Kalokalo,5,1,Dan,1990-04-07,,Male,,,S.W.A.T. Officer
Survivor: David vs. Goliath,37,John Hennigan,545,John,38,Los Angeles,California,INFJ,8,22,9,7th voted out,2nd jury member,Goliath,Tiva,,Kalokalo,3,0,John,1979-10-03,,Male,,,Pro Wrestler
Survivor: David vs. Goliath,37,Elizabeth Olson,544,Elizabeth,31,Longview,Texas,ESTP,7,20,8,6th voted out,1st jury member,David,Vuku,,Kalokalo,13,0,Elizabeth,1987-01-22,,Female,,,Kitchen Staff
Survivor: David vs. Goliath,37,Lyrsa Torres,543,Lyrsa,36,Boston,Massachusetts,ISFP,6,17,7,5th voted out,,David,Jabeni,,,9,0,Lyrsa,1981-09-12,,Female,,Hispanic,Airline Agent
Survivor: David vs. Goliath,37,Natalie Cole,542,Natalie,57,Los Angeles,California,ESTJ,5,15,6,4th voted out,,Goliath,Jabeni,,,4,0,Natalie,1961-02-26,,Female,Black,,Publishing CEO
Survivor: David vs. Goliath,37,Natalia Azoqa,541,Natalia,26,Irvine,California,ESTJ,4,11,5,3rd voted out,,Goliath,Vuku,,,3,0,Natalia,1992-04-02,,Female,Asian,,Industrial Engineer
Survivor: David vs. Goliath,37,Bi Nguyen,540,Bi,28,Houston,Texas,ISFP,4,10,4,Quit,,David,,,,0,0,Bi,1989-10-30,,Female,Asian,,MMA Fighter
Survivor: David vs. Goliath,37,Jeremy Crawford,539,Jeremy,40,New York City,New York,ENFJ,3,9,3,2nd voted out,,Goliath,,,,9,0,Jeremy,1978-04-26,,Male,Black,,Attorney
Survivor: David vs. Goliath,37,Jessica Peet,538,Jessica,19,Lakeland,Florida,ENFP,2,6,2,1st voted out,,David,,,,5,0,Jessica,1998-10-22,,Female,,,Waitress
Survivor: David vs. Goliath,37,Pat Cusack,537,Pat,41,Watervliet,New York,ESTP,1,3,1,Medically evacuated,,David,,,,0,0,Pat,1977-02-25,,Male,,,Maintenance Manager
Survivor: Ghost Island,36,Wendell Holland,536,Wendell,33,Philadelphia,Pennsylvania,INFJ,14,39,20,Sole Survivor,,Naviti,Naviti,Yanuya,Lavita,5,2,Wendell,1984-03-08,,Male,Black,,Furniture Company Owner;Furniture Designer
Survivor: Ghost Island,36,Domenick Abbate,535,Domenick,38,Nesconset,New York,ESTP,14,39,19,Runner-up,,Naviti,Naviti,Naviti,Lavita,2,3,Domenick,1978-10-31,,Male,,,Construction Supervisor
Survivor: Ghost Island,36,Laurel Johnson,534,Laurel,29,Minneapolis,Minnesota,INTP,14,39,18,2nd runner-up,11th jury member,Malolo,Naviti,Yanuya,Lavita,2,1,Laurel,1988-02-29,,Female,Black,,Financial Consultant
Survivor: Ghost Island,36,Angela Perkins,533,Angela,42,Cincinnati,Ohio,ISTJ,13,38,17,Eliminated,10th jury member,Naviti,Naviti,Malolo,Lavita,3,1,Angela,1974-11-02,,Female,,,Army Veteran
Survivor: Ghost Island,36,Donathan Hurley,532,Donathan,25,Kimper,Kentucky,ENFP,13,37,16,16th voted out,9th jury member,Malolo,Naviti,Naviti,Lavita,11,0,Donathan,1991-07-19,,Male,,,Caretaker
Survivor: Ghost Island,36,Sebastian Noel,531,Sebastian,22,Satellite Beach,Florida,ESFP,13,36,15,15th voted out,8th jury member,Naviti,Malolo,Yanuya,Lavita,5,0,Sebastian,1994-07-20,,Male,,,Fishing Guide
Survivor: Ghost Island,36,Kellyn Bechtold,530,Kellyn,30,Denver,Colorado,ESFJ,12,35,14,14th voted out,7th jury member,Naviti,Malolo,Malolo,Lavita,8,1,Kellyn,1986-11-01,,Female,,,Career Counselor
Survivor: Ghost Island,36,Chelsea Townsend,529,Chelsea,25,Los Angeles,California,ISFP,11,32,13,13th voted out,6th jury member,Naviti,Malolo,Naviti,Lavita,5,2,Chelsea,1992-05-25,,Female,,,EMT/Pro Cheerleader
Survivor: Ghost Island,36,Michael Yerger,528,Michael,18,Los Angeles,California,INFJ,10,29,12,12th voted out,5th jury member,Malolo,Malolo,Malolo,Lavita,15,0,Michael,1998-07-20,,Male,,,Real Estate Agent
Survivor: Ghost Island,36,Jenna Bowman,527,Jenna,23,Venice Beach,California,ISTJ,10,29,11,11th voted out,4th jury member,Malolo,Malolo,Yanuya,Lavita,3,0,Jenna,1993-11-10,,Female,,,Advertising Account Executive
Survivor: Ghost Island,36,Desiree Afuye,526,Desiree,21,Brooklyn,New York,ESFP,9,27,10,10th voted out,3rd jury member,Naviti,Malolo,Malolo,Lavita,10,0,Desiree,1996-02-03,,Female,Black,,Student
Survivor: Ghost Island,36,Libby Vincek,525,Libby,24,Houston,Texas,ESFJ,8,25,9,9th voted out,2nd jury member,Malolo,Naviti,Naviti,Lavita,8,0,Libby,1992-08-24,,Female,,,Social Media Strategist
Survivor: Ghost Island,36,Chris Noble,524,Chris,27,Brooklyn,New York,ESTJ,7,22,8,8th voted out,1st jury member,Naviti,Naviti,Yanuya,Lavita,10,0,Chris,1989-12-04,,Male,,,Male Model
Survivor: Ghost Island,36,Bradley Kleihege,523,Bradley,26,Los Angeles,California,ENTJ,6,19,7,7th voted out,,Naviti,Malolo,Naviti,,8,0,Bradley,1990-09-14,,Male,,,Law Student
Survivor: Ghost Island,36,James Lim,522,James,24,New York City,New York,INTJ,5,17,6,6th voted out,,Malolo,Naviti,Malolo,,6,0,James,1993-03-17,,Male,Asian,Korean American,Business Analyst
Survivor: Ghost Island,36,Stephanie Johnson,521,Stephanie,34,Chicago,Illinois,ENFP,4,14,5,5th voted out,,Malolo,Malolo,,,7,0,Stephanie,1982-09-10,,Female,,,Yoga Instructor
Survivor: Ghost Island,36,Brendan Shapiro,520,Brendan,40,Herndon,Virginia,ENFJ,3,12,4,4th voted out,,Malolo,Malolo,,,5,0,Brendan,1976-06-17,,Male,,,Physical Education Teacher
Survivor: Ghost Island,36,Morgan Ricke,519,Morgan,29,Orlando,Florida,ENFP,2,9,3,3rd voted out,,Naviti,Naviti,,,4,0,Morgan,1987-08-07,,Female,,,Marine Animal Trainer
Survivor: Ghost Island,36,Jacob Derwin,518,Jacob,22,Brooklyn,New York,INFP,1,6,2,2nd voted out,,Malolo,,,,5,0,Jacob,1995-06-01,,Male,White,Jewish,Music Teacher
Survivor: Ghost Island,36,Stephanie Gonzalez,517,Gonzalez,26,Ocala,Florida,ESTJ,1,3,1,1st voted out,,Malolo,,,,8,0,Gonzalez,1991-04-22,,Female,,Hispanic or Latino,Graphic Sales
Survivor: Heroes vs. Healers vs. Hustlers,35,Ben Driebergen,516,Ben,34,Boise,Idaho,ESFP,14,39,18,Sole Survivor,,Levu,Yawa,,Solewa,11,0,Ben,1983-01-01,,Male,,,Marine;Real Estate/Stay-at-home Dad
Survivor: Heroes vs. Healers vs. Hustlers,35,Chrissy Hofbeck,515,Chrissy,46,Lebanon Township,New Jersey,ENTJ,14,39,17,Runner-up,,Levu,Soko,,Solewa,7,4,Chrissy,1971-03-09,,Female,,,Actuary
Survivor: Heroes vs. Healers vs. Hustlers,35,Ryan Ulrich,514,Ryan,23,North Arlington,New Jersey,ENFP,14,39,16,2nd runner-up,,Yawa,Soko,,Solewa,2,0,Ryan,1993-09-08,,Male,,,Bellhop
Survivor: Heroes vs. Healers vs. Hustlers,35,Devon Pinto,513,Devon,23,Solana Beach,California,INFJ,13,38,15,Eliminated,8th jury member,Yawa,Levu,,Solewa,2,0,Devon,1993-03-06,,Male,,Hispanic or Latino,Surf Instructor
