"season_name","season","episode","day","episode_title","challenge_name","challenge_type","outcome_type","challenge_id","winner_ids","winner_names","winner_tribes","winner_statuses"
"Survivor: Borneo",1,6,18,"Udder Revenge","Abandoned Barracks","Reward","Tribal","CH0038","c(""6"", ""7"", ""8"", ""9"", ""10"", ""11"")","c(""Joel"", ""Gretchen"", ""Greg"", ""Jenna"", ""Gervase"", ""Colleen"")","c(""Pagong"", ""Pagong"", ""Pagong"", ""Pagong"", ""Pagong"", ""Pagong"")","c(""Winner"", ""Winner"", ""Winner"", ""Winner"", ""Winner"", ""Winner"")"
"Survivor: Borneo",1,7,21,"The Merger","Snake Island Relay","Immunity","Individual","CH0048","8","Greg","NA","Winner"
"Survivor: Borneo",1,8,24,"Thy Name is Duplicity","End of the Line","Immunity","Individual","CH0052","10","Gervase","NA","Winner"
"Survivor: Borneo",1,8,24,"Thy Name is Duplicity","Survivor Archery","Reward","Individual","CH0051","8","Greg","NA","Winner"
"Survivor: Borneo",1,9,27,"Old and New Bonds","Squared Off","Immunity","Individual","CH0072","14","Rudy","NA","Winner"
"Survivor: Borneo",1,9,27,"Old and New Bonds","Out on a Limb","Reward","Individual","CH0054","c(""11"", ""9"")","c(""Colleen"", ""Jenna"")","c(""NA"", ""NA"")","c(""Winner"", ""Chosen to participate"")"
"Survivor: Borneo",1,10,30,"Crack in the Alliance","Fast Fire","Immunity","Individual","CH0077","16","Richard","NA","Winner"
"Survivor: Borneo",1,10,30,"Crack in the Alliance","Bamboozled","Reward","Individual","CH0076","10","Gervase","NA","Winner"
"Survivor: Borneo",1,11,33,"Long Hard Days","Walk the Plank","Immunity","Individual","CH0096","15","Kelly","NA","Winner"
"Survivor: Borneo",1,11,33,"Long Hard Days","Survivor Quiz Show","Reward","Individual","CH0082","c(""12"", ""16"")","c(""Sean"", ""Richard"")","c(""NA"", ""NA"")","c(""Winner"", ""Chosen to participate"")"
"Survivor: Borneo",1,12,36,"Death of an Alliance","Witch Hunt","Immunity","Individual","CH0100","15","Kelly","NA","Winner"
"Survivor: Borneo",1,12,36,"Death of an Alliance","Mud Pack","Reward","Individual","CH0097","15","Kelly","NA","Winner"
"Survivor: Borneo",1,13,37,"The Final Four","Fallen Comrades","Immunity","Individual","CH0112","15","Kelly","NA","Winner"
"Survivor: Borneo",1,13,38,"The Final Four","Hands on a Hard Idol","Immunity","Individual","CH0110","15","Kelly","NA","Winner"
"Survivor: The Australian Outback",2,1,3,"Stranded","Quest for Fire","Reward and Immunity","Tribal","CH0001","c(""18"", ""19"", ""20"", ""25"", ""27"", ""30"", ""31"", ""32"")","c(""Kel"", ""Maralyn"", ""Mitchell"", ""Jerri"", ""Amber"", ""Keith"", ""Colby"", ""Tina"")","c(""Ogakor"", ""Ogakor"", ""Ogakor"", ""Ogakor"", ""Ogakor"", ""Ogakor"", ""Ogakor"", ""Ogakor"")","c(""Winner"", ""Winner"", ""Winner"", ""Winner"", ""Winner"", ""Winner"", ""Winner"", ""Winner"")"
"Survivor: The Australian Outback",2,2,6,"Suspicion","Buggin' Out","Immunity","Tribal","CH0004","c(""21"", ""22"", ""23"", ""24"", ""26"", ""28"", ""29"")","c(""Kimmi"", ""Michael"", ""Jeff"", ""Alicia"", ""Nick"", ""Rodger"", ""Elisabeth"")","c(""Kucha"", ""Kucha"", ""Kucha"", ""Kucha"", ""Kucha"", ""Kucha"", ""Kucha"")","c(""Winner"", ""Winner"", ""Winner"", ""Winner"", ""Winner"", ""Winner"", ""Winner"")"
"Survivor: The Australian Outback",2,2,6,"Suspicion","Butch Cassidy","Reward","Tribal","CH0118","c(""18"", ""19"", ""20"", ""25"", ""27"", ""30"", ""31"", ""32"")","c(""Kel"", ""Maralyn"", ""Mitchell"", ""Jerri"", ""Amber"", ""Keith"", ""Colby"", ""Tina"")","c(""Ogakor"", ""Ogakor"", ""Ogakor"", ""Ogakor"", ""Ogakor"", ""Ogakor"", ""Ogakor"", ""Ogakor"")","c(""Winner"", ""Winner"", ""Winner"", ""Winner"", ""Winner"", ""Winner"", ""Winner"", ""Winner"")"
"Survivor: The Australian Outback",2,3,9,"Trust No One","Lock Step","Immunity","Tribal","CH0120","c(""21"", ""22"", ""23"", ""24"", ""26"", ""28"", ""29"")","c(""Kimmi"", ""Michael"", ""Jeff"", ""Alicia"", ""Nick"", ""Rodger"", ""Elisabeth"")","c(""Kucha"", ""Kucha"", ""Kucha"", ""Kucha"", ""Kucha"", ""Kucha"", ""Kucha"")","c(""Winner"", ""Winner"", ""Winner"", ""Winner"", ""Winner"", ""Winner"", ""Winner"")"
"Survivor: The Australian Outback",2,3,9,"Trust No One","Shoulder the Load","Reward","Tribal","CH0357","c(""19"", ""20"", ""25"", ""27"", ""30"", ""31"", ""32"")","c(""Maralyn"", ""Mitchell"", ""Jerri"", ""Amber"", ""Keith"", ""Colby"", ""Tina"")","c(""Ogakor"", ""Ogakor"", ""Ogakor"", ""Ogakor"", ""Ogakor"", ""Ogakor"", ""Ogakor"")","c(""Winner"", ""Winner"", ""Winner"", ""Winner"", ""Winner"", ""Winner"", ""Winner"")"
"Survivor: The Australian Outback",2,4,12,"The Killing Fields","Survivor Quiz Show","Immunity","Tribal","CH0082","c(""21"", ""22"", ""23"", ""24"", ""26"", ""28"", ""29"")","c(""Kimmi"", ""Michael"", ""Jeff"", ""Alicia"", ""Nick"", ""Rodger"", ""Elisabeth"")","c(""Kucha"", ""Kucha"", ""Kucha"", ""Kucha"", ""Kucha"", ""Kucha"", ""Kucha"")","c(""Winner"", ""Winner"", ""Winner"", ""Winner"", ""Winner"", ""Winner"", ""Winner"")"
"Survivor: The Australian Outback",2,4,12,"The Killing Fields","Mastermind","Reward","Tribal","CH0123","c(""21"", ""22"", ""23"", ""24"", ""26"", ""28"", ""29"")","c(""Kimmi"", ""Michael"", ""Jeff"", ""Alicia"", ""Nick"", ""Rodger"", ""Elisabeth"")","c(""Kucha"", ""Kucha"", ""Kucha"", ""Kucha"", ""Kucha"", ""Kucha"", ""Kucha"")","c(""Winner"", ""Winner"", ""Winner"", ""Winner"", ""Winner"", ""Winner"", ""Winner"")"
"Survivor: The Australian Outback",2,5,15,"The Gloves Come Off","The Maze","Immunity","Tribal","CH0124","c(""25"", ""27"", ""30"", ""31"", ""32"")","c(""Jerri"", ""Amber"", ""Keith"", ""Colby"", ""Tina"")","c(""Ogakor"", ""Ogakor"", ""Ogakor"", ""Ogakor"", ""Ogakor"")","c(""Winner"", ""Winner"", ""Winner"", ""Winner"", ""Winner"")"
"Survivor: The Australian Outback",2,5,15,"The Gloves Come Off","Rescue Mission","Reward","Tribal","CH0021","c(""21"", ""22"", ""23"", ""24"", ""26"", ""28"", ""29"")","c(""Kimmi"", ""Michael"", ""Jeff"", ""Alicia"", ""Nick"", ""Rodger"", ""Elisabeth"")","c(""Kucha"", ""Kucha"", ""Kucha"", ""Kucha"", ""Kucha"", ""Kucha"", ""Kucha"")","c(""Winner"", ""Winner"", ""Winner"", ""Winner"", ""Winner"", ""Winner"", ""Winner"")"
"Survivor: The Australian Outback",2,6,17,"Trial By Fire","Blind Leading the Blind","Reward","Tribal","CH0631","c(""22"", ""23"", ""24"", ""26"", ""28"", ""29"")","c(""Michael"", ""Jeff"", ""Alicia"", ""Nick"", ""Rodger"", ""Elisabeth"")","c(""Kucha"", ""Kucha"", ""Kucha"", ""Kucha"", ""Kucha"", ""Kucha"")","c(""Winner"", ""Winner"", ""Winner"", ""Winner"", ""Winner"", ""Winner"")"
"Survivor: The Australian Outback",2,7,21,"The Merge","Perch","Immunity","Individual","CH0890","30","Keith","NA","Winner"
"Survivor: The Australian Outback",2,8,24,"Friends?","Don't Fence Me In","Immunity","Individual","CH0141","30","Keith","NA","Winner"
"Survivor: The Australian Outback",2,8,24,"Friends?","Return to Sender","Reward","Individual","CH0140","c(""25"", ""27"")","c(""Jerri"", ""Amber"")","c(""NA"", ""NA"")","c(""Winner"", ""Chosen to participate"")"
"Survivor: The Australian Outback",2,10,27,"Honeymoon or Not?","Hanging in the Balance","Immunity","Individual","CH0142","26","Nick","NA","Winner"
"Survivor: The Australian Outback",2,10,27,"Honeymoon or Not?","The Obstacle Course","Reward","Team","CH0039","c(""31"", ""25"")","c(""Colby"", ""Jerri"")","c(""NA"", ""NA"")","c(""Winner"", ""Winner"")"
"Survivor: The Australian Outback",2,11,30,"Let's Make a Deal","Fire and Water","Immunity","Individual","CH0158","31","Colby","NA","Winner"
"Survivor: The Australian Outback",2,11,30,"Let's Make a Deal","Survivor Auction","Reward","Individual","CH0143","NA","NA","NA","Winner"
"Survivor: The Australian Outback",2,12,33,"No Longer Just a Game","Blue Plate Special","Immunity","Individual","CH0160","31","Colby","NA","Winner"
"Survivor: The Australian Outback",2,12,33,"No Longer Just a Game","End of the Line","Reward","Individual","CH0052","31","Colby","NA","Winner"
"Survivor: The Australian Outback",2,13,36,"Enough is Enough","Witch Hunt","Immunity","Individual","CH0100","31","Colby","NA","Winner"
"Survivor: The Australian Outback",2,13,36,"Enough is Enough","Survivor.com","Reward","Individual","CH0163","32","Tina","NA","Winner"
"Survivor: The Australian Outback",2,14,39,"The Final Four","Fallen Comrades","Immunity","Individual","CH0112","31","Colby","NA","Winner"
"Survivor: The Australian Outback",2,14,39,"The Final Four","Survivor Pentathlon","Reward","Individual","CH0164","31","Colby","NA","Winner"
"Survivor: The Australian Outback",2,14,39,"The Final Four","Memory","Immunity","Individual","CH0197","31","Colby","NA","Winner"
"Survivor: The Australian Outback",2,15,41,"The Most Deserving","Fallen Comrades","Immunity","Individual","CH0112","31","Colby","NA","Winner"
"Survivor: Africa",3,1,3,"Question of Trust","Quest for Fire","Reward and Immunity","Tribal","CH0001","c(""35"", ""36"", ""37"", ""38"", ""41"", ""42"", ""43"", ""44"")","c(""Carl"", ""Linda"", ""Silas"", ""Lindsey"", ""Brandon"", ""Frank"", ""Kim P."", ""Teresa"")","c(""Samburu"", ""Samburu"", ""Samburu"", ""Samburu"", ""Samburu"", ""Samburu"", ""Samburu"", ""Samburu"")","c(""Winner"", ""Winner"", ""Winner"", ""Winner"", ""Winner"", ""Winner"", ""Winner"", ""Winner"")"
"Survivor: Africa",3,2,6,"Who's Zooming Whom?","Buggin' Out","Immunity","Tribal","CH0004","c(""35"", ""36"", ""37"", ""38"", ""41"", ""42"", ""43"", ""44"")","c(""Carl"", ""Linda"", ""Silas"", ""Lindsey"", ""Brandon"", ""Frank"", ""Kim P."", ""Teresa"")","c(""Samburu"", ""Samburu"", ""Samburu"", ""Samburu"", ""Samburu"", ""Samburu"", ""Samburu"", ""Samburu"")","c(""Winner"", ""Winner"", ""Winner"", ""Winner"", ""Winner"", ""Winner"", ""Winner"", ""Winner"")"
"Survivor: Africa",3,2,6,"Who's Zooming Whom?","Stairway to the Stars","Reward","Tribal","CH0206","c(""35"", ""36"", ""37"", ""38"", ""41"", ""42"", ""43"", ""44"")","c(""Carl"", ""Linda"", ""Silas"", ""Lindsey"", ""Brandon"", ""Frank"", ""Kim P."", ""Teresa"")","c(""Samburu"", ""Samburu"", ""Samburu"", ""Samburu"", ""Samburu"", ""Samburu"", ""Samburu"", ""Samburu"")","c(""Winner"", ""Winner"", ""Winner"", ""Winner"", ""Winner"", ""Winner"", ""Winner"", ""Winner"")"
"Survivor: Africa",3,3,9,"The Gods Are Angry","SOS Signal","Immunity","Tribal","CH0024","c(""39"", ""40"", ""45"", ""46"", ""47"", ""48"")","c(""Clarence"", ""Kelly"", ""Tom"", ""Lex"", ""Kim J."", ""Ethan"")","c(""Boran"", ""Boran"", ""Boran"", ""Boran"", ""Boran"", ""Boran"")","c(""Winner"", ""Winner"", ""Winner"", ""Winner"", ""Winner"", ""Winner"")"
"Survivor: Africa",3,3,9,"The Gods Are Angry","Rock 'n' Roll","Reward","Tribal","CH0207","c(""39"", ""40"", ""45"", ""46"", ""47"", ""48"")","c(""Clarence"", ""Kelly"", ""Tom"", ""Lex"", ""Kim J."", ""Ethan"")","c(""Boran"", ""Boran"", ""Boran"", ""Boran"", ""Boran"", ""Boran"")","c(""Winner"", ""Winner"", ""Winner"", ""Winner"", ""Winner"", ""Winner"")"
"Survivor: Africa",3,4,12,"The Young and Untrusted","Movin' on Up","Immunity","Tribal","CH0212","c(""39"", ""40"", ""45"", ""46"", ""47"", ""48"")","c(""Clarence"", ""Kelly"", ""Tom"", ""Lex"", ""Kim J."", ""Ethan"")","c(""Boran"", ""Boran"", ""Boran"", ""Boran"", ""Boran"", ""Boran"")","c(""Winner"", ""Winner"", ""Winner"", ""Winner"", ""Winner"", ""Winner"")"
"Survivor: Africa",3,4,12,"The Young and Untrusted","Caught in the Web","Reward","Tribal","CH0209","c(""36"", ""37"", ""38"", ""41"", ""42"", ""43"", ""44"")","c(""Linda"", ""Silas"", ""Lindsey"", ""Brandon"", ""Frank"", ""Kim P."", ""Teresa"")","c(""Samburu"", ""Samburu"", ""Samburu"", ""Samburu"", ""Samburu"", ""Samburu"", ""Samburu"")","c(""Winner"", ""Winner"", ""Winner"", ""Winner"", ""Winner"", ""Winner"", ""Winner"")"
"Survivor: Africa",3,5,15,"The Twist","Puzzle of Shields","Immunity","Tribal","CH0215","c(""38"", ""40"", ""41"", ""43"", ""45"", ""46"")","c(""Lindsey"", ""Kelly"", ""Brandon"", ""Kim P."", ""Tom"", ""Lex"")","c(""Samburu"", ""Samburu"", ""Samburu"", ""Samburu"", ""Samburu"", ""Samburu"")","c(""Winner"", ""Winner"", ""Winner"", ""Winner"", ""Winner"", ""Winner"")"
"Survivor: Africa",3,5,15,"The Twist","Get Your Goat","Reward","Tribal","CH0213","c(""37"", ""39"", ""42"", ""44"", ""47"", ""48"")","c(""Silas"", ""Clarence"", ""Frank"", ""Teresa"", ""Kim J."", ""Ethan"")","c(""Boran"", ""Boran"", ""Boran"", ""Boran"", ""Boran"", ""Boran"")","c(""Winner"", ""Winner"", ""Winner"", ""Winner"", ""Winner"", ""Winner"")"
"Survivor: Africa",3,6,18,"I'd Never Do It To You","Spear-It Hunt","Immunity","Tribal","CH0216","c(""39"", ""42"", ""44"", ""47"", ""48"")","c(""Clarence"", ""Frank"", ""Teresa"", ""Kim J."", ""Ethan"")","c(""Boran"", ""Boran"", ""Boran"", ""Boran"", ""Boran"")","c(""Winner"", ""Winner"", ""Winner"", ""Winner"", ""Winner"")"
"Survivor: Africa",3,6,18,"I'd Never Do It To You","Survivor Quiz Show","Reward","Tribal","CH0082","c(""38"", ""40"", ""41"", ""43"", ""45"", ""46"")","c(""Lindsey"", ""Kelly"", ""Brandon"", ""Kim P."", ""Tom"", ""Lex"")","c(""Samburu"", ""Samburu"", ""Samburu"", ""Samburu"", ""Samburu"", ""Samburu"")","c(""Winner"", ""Winner"", ""Winner"", ""Winner"", ""Winner"", ""Winner"")"
"Survivor: Africa",3,7,21,"Will There Be a Feast Tonight?","When It Rains, It Pours","Immunity","Individual","CC0737","44","Teresa","NA","Winner"
"Survivor: Africa",3,9,24,"Smoking Out the Snake","Box Your Mind","Immunity","Individual","CH0224","48","Ethan","NA","Winner"
"Survivor: Africa",3,9,24,"Smoking Out the Snake","Stomp-ede","Reward","Individual","CH0219","c(""48"", ""46"")","c(""Ethan"", ""Lex"")","c(""NA"", ""NA"")","c(""Winner"", ""Chosen to participate"")"
"Survivor: Africa",3,10,27,"Dinner, Movie and a Betrayal","Fast Fire","Immunity","Individual","CH0077","46","Lex","NA","Winner"
"Survivor: Africa",3,10,27,"Dinner, Movie and a Betrayal","The Obstacle Course","Reward","Team","CH0039","c(""41"", ""42"")","c(""Brandon"", ""Frank"")","c(""NA"", ""NA"")","c(""Winner"", ""Winner"")"
"Survivor: Africa",3,11,30,"We Are Family","Witch Hunt","Immunity","Individual","CH0100","46","Lex","NA","Winner"
"Survivor: Africa",3,11,30,"We Are Family","Survivor Auction","Reward","Individual","CH0143","NA","NA","NA","Winner"
"Survivor: Africa",3,12,33,"The Big Adventure","Blue Plate Special","Immunity","Individual","CH0160","45","Tom","NA","Winner"
"Survivor: Africa",3,12,33,"The Big Adventure","Know Your Loved One","Reward","Individual","CH0233","c(""46"", ""45"")","c(""Lex"", ""Tom"")","c(""NA"", ""NA"")","c(""Winner"", ""Chosen to participate"")"
"Survivor: Africa",3,13,36,"Truth Be Told","Survivor Pentathlon","Immunity","Individual","CH0167","46","Lex","NA","Winner"
"Survivor: Africa",3,13,36,"Truth Be Told","Swahili Scramble","Reward","Individual","CH0235","46","Lex","NA","Winner"
"Survivor: Africa",3,14,37,"The Final Four: No Regrets","Fallen Comrades","Immunity","Individual","CH0112","47","Kim J.","NA","Winner"
"Survivor: Africa",3,14,38,"The Final Four: No Regrets","Hands on a Hard Idol","Immunity","Individual","CH0110","47","Kim J.","NA","Winner"
"Survivor: Marquesas",4,1,3,"Back to the Beach","Quest for Fire","Immunity","Tribal","CH0001","c(""53"", ""56"", ""57"", ""58"", ""59"", ""61"", ""62"", ""63"")","c(""Gabriel"", ""John"", ""Zoe"", ""Tammy"", ""Robert"", ""Paschal"", ""Kathy"", ""Neleh"")","c(""Rotu"", ""Rotu"", ""Rotu"", ""Rotu"", ""Rotu"", ""Rotu"", ""Rotu"", ""Rotu"")","c(""Winner"", ""Winner"", ""Winner"", ""Winner"", ""Winner"", ""Winner"", ""Winner"", ""Winner"")"
"Survivor: Marquesas",4,2,6,"Nacho Momma","Buggin' Out","Immunity","Tribal","CH0004","c(""53"", ""56"", ""57"", ""58"", ""59"", ""61"", ""62"", ""63"")","c(""Gabriel"", ""John"", ""Zoe"", ""Tammy"", ""Robert"", ""Paschal"", ""Kathy"", ""Neleh"")","c(""Rotu"", ""Rotu"", ""Rotu"", ""Rotu"", ""Rotu"", ""Rotu"", ""Rotu"", ""Rotu"")","c(""Winner"", ""Winner"", ""Winner"", ""Winner"", ""Winner"", ""Winner"", ""Winner"", ""Winner"")"
"Survivor: Marquesas",4,2,6,"Nacho Momma","Float Your Boat","Reward","Tribal","CH0240","c(""53"", ""56"", ""57"", ""58"", ""59"", ""61"", ""62"", ""63"")","c(""Gabriel"", ""John"", ""Zoe"", ""Tammy"", ""Robert"", ""Paschal"", ""Kathy"", ""Neleh"")","c(""Rotu"", ""Rotu"", ""Rotu"", ""Rotu"", ""Rotu"", ""Rotu"", ""Rotu"", ""Rotu"")","c(""Winner"", ""Winner"", ""Winner"", ""Winner"", ""Winner"", ""Winner"", ""Winner"", ""Winner"")"
"Survivor: Marquesas",4,3,9,"No Pain, No Gain","Coconut Maze Race","Immunity","Tribal","CH0242","c(""53"", ""56"", ""57"", ""58"", ""59"", ""61"", ""62"", ""63"")","c(""Gabriel"", ""John"", ""Zoe"", ""Tammy"", ""Robert"", ""Paschal"", ""Kathy"", ""Neleh"")","c(""Rotu"", ""Rotu"", ""Rotu"", ""Rotu"", ""Rotu"", ""Rotu"", ""Rotu"", ""Rotu"")","c(""Winner"", ""Winner"", ""Winner"", ""Winner"", ""Winner"", ""Winner"", ""Winner"", ""Winner"")"
"Survivor: Marquesas",4,3,9,"No Pain, No Gain","Shipwrecked","Reward","Tribal","CH0034","c(""53"", ""56"", ""57"", ""58"", ""59"", ""61"", ""62"", ""63"")","c(""Gabriel"", ""John"", ""Zoe"", ""Tammy"", ""Robert"", ""Paschal"", ""Kathy"", ""Neleh"")","c(""Rotu"", ""Rotu"", ""Rotu"", ""Rotu"", ""Rotu"", ""Rotu"", ""Rotu"", ""Rotu"")","c(""Winner"", ""Winner"", ""Winner"", ""Winner"", ""Winner"", ""Winner"", ""Winner"", ""Winner"")"
"Survivor: Marquesas",4,4,12,"The Winds Twist","Life's a Tapestry","Immunity","Tribal","CH0243","c(""53"", ""55"", ""56"", ""57"", ""58"", ""59"", ""60"", ""64"")","c(""Gabriel"", ""Boston Rob"", ""John"", ""Zoe"", ""Tammy"", ""Robert"", ""Sean"", ""Vecepia"")","c(""Rotu"", ""Rotu"", ""Rotu"", ""Rotu"", ""Rotu"", ""Rotu"", ""Rotu"", ""Rotu"")","c(""Winner"", ""Winner"", ""Winner"", ""Winner"", ""Winner"", ""Winner"", ""Winner"", ""Winner"")"
"Survivor: Marquesas",4,5,15,"The End of Innocence","SOS Signal","Immunity","Tribal","CH0024","c(""54"", ""61"", ""62"", ""63"")","c(""Gina"", ""Paschal"", ""Kathy"", ""Neleh"")","c(""Maraamu"", ""Maraamu"", ""Maraamu"", ""Maraamu"")","c(""Winner"", ""Winner"", ""Winner"", ""Winner"")"
"Survivor: Marquesas",4,5,15,"The End of Innocence","Blind Leading the Blind","Reward","Tribal","CH0631","c(""54"", ""61"", ""62"", ""63"")","c(""Gina"", ""Paschal"", ""Kathy"", ""Neleh"")","c(""Maraamu"", ""Maraamu"", ""Maraamu"", ""Maraamu"")","c(""Winner"", ""Winner"", ""Winner"", ""Winner"")"
"Survivor: Marquesas",4,6,18,"The Underdogs","The Maze","Immunity","Tribal","CH0124","c(""55"", ""56"", ""57"", ""58"", ""59"", ""60"", ""64"")","c(""Boston Rob"", ""John"", ""Zoe"", ""Tammy"", ""Robert"", ""Sean"", ""Vecepia"")","c(""Rotu"", ""Rotu"", ""Rotu"", ""Rotu"", ""Rotu"", ""Rotu"", ""Rotu"")","c(""Winner"", ""Winner"", ""Winner"", ""Winner"", ""Winner"", ""Winner"", ""Winner"")"
"Survivor: Marquesas",4,6,18,"The Underdogs","Jungle Relay","Reward","Tribal","CH0244","c(""54"", ""61"", ""62"", ""63"")","c(""Gina"", ""Paschal"", ""Kathy"", ""Neleh"")","c(""Maraamu"", ""Maraamu"", ""Maraamu"", ""Maraamu"")","c(""Winner"", ""Winner"", ""Winner"", ""Winner"")"
"Survivor: Marquesas",4,7,21,"True Lies","Sea Legs","Immunity","Individual","CH0254","62","Kathy","NA","Winner"
"Survivor: Marquesas",4,8,24,"Jury's Out","Survivor Quiz Show","Immunity","Individual","CH0082","58","Tammy","NA","Winner"
"Survivor: Marquesas",4,8,24,"Jury's Out","Go Fly a Kite","Reward","Individual","CH0264","62","Kathy","NA","Winner"
"Survivor: Marquesas",4,10,27,"Two Peas in a Pod","High Stepping","Immunity","Individual","CH0269","58","Tammy","NA","Winner"
"Survivor: Marquesas",4,10,27,"Two Peas in a Pod","Coconut Juice","Reward","Individual","CH0265","c(""61"", ""60"")","c(""Paschal"", ""Sean"")","c(""NA"", ""NA"")","c(""Winner"", ""Chosen to participate"")"
"Survivor: Marquesas",4,11,30,"The Princess","Fast Fire","Immunity","Individual","CH0077","59","Robert","NA","Winner"
"Survivor: Marquesas",4,11,30,"The Princess","Rock Bottom","Reward","Individual","CH0270","c(""61"", ""63"")","c(""Paschal"", ""Neleh"")","c(""NA"", ""NA"")","c(""Winner"", ""Chosen to participate"")"
"Survivor: Marquesas",4,12,33,"Marquesan Vacation","Blue Plate Special","Immunity","Individual","CH0160","64","Vecepia","NA","Winner"
